selling_price,km_driven,max_power,seats,mileage_num,engine_num,torque_NM,torque_rpm,no_year,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
450000,145500,74,5,23.4,1248,190,2000,7,1,0,0,1,0,1,0,0,0,0
370000,120000,103.52,5,21.1,1498,250,2000,7,1,0,0,1,0,1,0,1,0,0
158000,140000,78,5,17.7,1497,12.7,2700,15,0,0,1,1,0,1,0,0,0,1
225000,127000,90,5,23,1396,22.4,2250,11,1,0,0,1,0,1,0,0,0,0
130000,120000,88.2,5,16.1,1298,11.5,4500,14,0,0,1,1,0,1,0,0,0,0
440000,45000,81.86,5,20.1,1197,113.75,4000,4,0,0,1,1,0,1,0,0,0,0
96000,175000,57.5,5,17.3,1061,7.8,4500,14,0,1,0,1,0,1,0,0,0,0
45000,5000,37,4,16.1,796,59,2500,20,0,0,1,1,0,1,0,1,0,0
350000,90000,67.1,5,23.5,1364,170,2100,10,1,0,0,1,0,1,0,0,0,0
200000,169000,68.1,5,20,1399,160,2000,8,1,0,0,1,0,1,0,0,0,0
500000,68000,108.45,5,19,1461,248,2250,7,1,0,0,1,0,1,0,1,0,0
92000,100000,60,5,17.3,993,78,4500,16,0,0,1,1,0,1,0,1,0,0
280000,140000,73.9,5,19.3,1248,190,2000,12,1,0,0,1,0,1,0,1,0,0
200000,80000,82,5,19.3,1248,154.9,2500,14,0,0,1,1,0,1,0,1,0,0
180000,90000,67,5,18.9,1061,84,3500,12,0,0,1,1,0,1,0,1,0,0
400000,40000,82,5,18.1,1198,115,3550,5,0,0,1,1,0,1,0,0,0,0
778000,70000,88.5,7,24.5,1248,200,1750,5,1,0,0,1,0,1,0,1,0,0
500000,53000,90,5,23,1396,22.4,2250,9,1,0,0,1,0,1,0,1,0,0
150000,80000,46.3,5,19.7,796,62,3000,19,0,0,1,1,0,1,0,1,0,0
680000,100000,88.73,5,22.5,1396,219.7,2125,5,1,0,0,1,0,1,0,0,0,0
174000,100000,64.1,5,21,1461,160,2000,10,1,0,0,1,0,1,0,1,0,0
950000,50000,98.6,5,25.5,1498,200,1750,4,1,0,0,1,0,1,0,0,0,0
525000,40000,74,5,26.5,1248,190,2000,6,1,0,0,1,0,1,0,0,0,0
600000,72000,88.8,5,21.5,1248,200,1750,9,1,0,0,1,0,1,0,0,0,0
500000,35000,83.81,5,20.3,1199,114,3500,3,0,0,1,1,0,1,0,0,0,0
575000,45000,83.1,5,21.4,1197,115,4000,5,0,0,1,1,0,1,0,0,0,0
275000,28000,47.3,5,24.7,796,69,3500,4,0,0,1,1,0,1,0,0,0,0
300000,70000,73.8,7,18.2,1248,172.5,1750,8,1,0,0,1,0,1,0,0,0,0
220000,120000,67,5,18.9,1061,84,3500,12,0,0,1,1,0,1,0,0,0,0
254999,25000,34.2,8,16.8,796,59,2500,3,0,0,1,1,0,1,0,0,0,0
670000,70000,88.5,5,24.3,1248,200,1750,4,1,0,0,1,0,1,0,0,0,0
70000,50000,82,5,19.3,1248,154.9,2500,18,0,0,1,1,0,1,0,1,0,0
150000,35000,35,5,14,796,6.1,3000,9,0,0,1,1,0,1,0,1,0,0
730000,2388,81.83,5,18.6,1197,114.7,4000,3,0,0,1,1,0,1,0,0,0,0
650000,16200,88.5,5,24.3,1248,200,1750,4,1,0,0,1,0,1,0,0,0,0
330000,10000,40.3,4,33.4,796,60,3500,2,0,0,0,1,0,1,0,1,0,0
366000,15000,67.1,5,23.9,998,90,3500,2,0,0,1,1,0,1,0,0,0,0
1149000,5000,121.3,5,17,1591,151,4850,2,0,0,1,1,0,1,0,0,0,0
150000,42000,67,5,20.6,1198,104,4000,5,0,0,1,1,0,1,0,0,0,0
425000,60000,138.03,7,13.9,2179,320,2200,10,1,0,0,1,0,1,0,1,0,0
150000,76000,37,4,16.1,796,59,2500,9,0,0,1,1,0,1,0,0,0,0
2100000,5000,160.77,5,16,1368,250,2125,2,0,0,1,1,0,0,0,0,0,0
925000,28900,117.3,5,17.8,1497,145,4600,3,0,0,1,0,0,1,0,0,0,0
425000,86300,116.3,5,16.8,1497,146,4800,8,0,0,1,0,0,1,0,0,0,0
675000,23300,83.14,5,18.5,1197,115,4000,3,0,0,1,0,0,0,0,0,0,0
819999,32600,88.5,5,24.3,1248,200,1750,3,1,0,0,0,0,1,0,0,0,0
390000,10300,67.05,5,23.9,998,90,3500,3,0,0,1,0,0,1,0,0,0,0
1500000,77000,168.5,7,12.5,2982,343,2400,7,1,0,0,0,0,1,0,0,0,0
700000,99000,100,7,12.9,2494,200,2400,8,1,0,0,0,0,1,0,0,0,0
1450000,27800,120.7,5,14.8,2143,200,2625,7,1,0,0,0,0,0,0,1,0,0
425000,49800,98.63,5,24.7,1498,200,1750,6,1,0,0,0,0,1,0,0,0,0
1090000,151000,175.56,7,13.5,2477,400,2250,8,1,0,0,0,0,1,0,0,0,0
600000,54700,98.6,5,26,1498,200,1750,6,1,0,0,0,0,1,0,0,0,0
850000,64000,103.25,5,20.6,1462,138,4400,3,0,0,1,0,0,1,0,0,0,0
525000,63000,98.6,5,27.3,1498,200,1750,6,1,0,0,0,0,1,0,0,0,0
1650000,127700,171.5,7,11.3,2755,360,2300,5,1,0,0,0,0,0,0,1,0,0
950000,99000,100.6,7,12.9,2494,200,2400,5,1,0,0,0,0,1,0,0,0,0
1750000,33900,174.33,5,17.6,1968,380,2125,8,1,0,0,0,0,0,0,1,0,0
1590000,25000,138.03,5,14.2,1798,173,4000,3,0,0,1,0,0,0,0,0,0,0
1689999,50000,187.74,5,18.5,1968,400,2375,8,1,0,0,0,0,0,0,0,0,0
1425000,59000,170,5,14.8,2143,400,2100,8,1,0,0,0,0,0,0,0,0,0
265000,120000,88.8,5,21.1,1248,200,2375,10,1,0,0,1,0,1,0,0,0,0
190000,110000,78.9,5,20.3,1197,111.7,4000,10,0,0,1,1,0,1,0,0,0,1
425000,60000,88.76,5,21.2,1396,219.6,2125,8,1,0,0,1,0,1,0,0,0,0
630000,147000,74,5,26.5,1248,190,2000,6,1,0,0,1,0,1,0,1,0,0
600000,25000,86.8,5,18.1,1196,112,4000,4,0,0,1,1,0,1,0,0,0,1
650000,30000,83.1,5,21.4,1197,115,4000,2,0,0,1,1,0,1,0,0,0,0
540000,40000,108.495,5,22,1498,250,2250,5,1,0,0,1,0,1,0,0,0,0
630000,135000,98.6,5,25.1,1498,200,1750,6,1,0,0,1,0,1,0,0,0,0
448000,30000,67,5,20.5,998,90,3500,3,0,0,1,1,0,0,0,0,0,0
500000,80000,108.62,5,21.6,1498,250,2250,4,1,0,0,1,0,1,0,0,0,0
745000,70000,88.5,5,24.3,1248,200,1750,5,1,0,0,1,0,1,0,0,0,0
1025000,9850,88.5,5,24.3,1248,200,1750,2,1,0,0,1,0,0,0,0,0,0
235000,60000,78.9,5,20.3,1197,111.7,4000,10,0,0,1,1,0,1,0,1,0,0
630000,70000,74,5,25.2,1248,190,2000,5,1,0,0,1,0,1,0,0,0,0
1700000,78000,168.5,7,12.5,2982,343,2400,6,1,0,0,1,0,1,0,1,0,0
450000,120000,74,5,22.9,1248,190,2000,8,1,0,0,1,0,1,0,1,0,0
450000,120000,93.7,7,16,1373,130,4000,9,0,0,1,1,0,1,0,1,0,0
50000,70000,82,5,19.3,1248,154.9,2500,18,1,0,0,1,0,1,0,0,0,0
450000,170000,103.6,5,20.5,1598,250,2000,8,1,0,0,1,0,1,0,0,0,0
1200000,140000,100.6,8,12.9,2494,200,2400,5,1,0,0,1,0,1,0,0,0,0
610000,90000,98.59,5,22.7,1498,205,2500,6,1,0,0,1,0,1,0,0,0,0
2500000,30000,189,5,15.7,1998,280,2975,5,0,0,1,1,0,0,0,1,0,0
484999,10000,67.04,5,23.1,998,90,3500,4,0,0,1,0,0,1,0,0,0,0
275000,49000,67.05,5,19,1198,104,4000,5,0,0,1,0,0,1,0,0,0,0
315000,32000,47.3,5,24.7,796,69,3500,5,0,0,1,0,0,1,0,0,0,0
275000,38000,47.3,5,24.7,796,69,3500,5,0,0,1,0,0,1,0,0,0,0
475000,78000,82,5,19.3,1248,154.9,2500,6,1,0,0,0,0,1,0,0,0,0
290000,28000,68.05,5,19.8,1086,99.04,4500,9,0,0,1,0,0,1,0,0,0,0
280000,32000,35,5,14,796,6.1,3000,4,0,0,1,0,0,1,0,0,0,0
225000,44000,58.2,5,26.2,998,77,3500,11,0,1,0,0,0,1,0,0,0,0
455000,42000,74,5,16.4,1198,110,3750,6,0,0,1,0,0,1,0,0,0,0
351000,45000,68.05,5,19.8,1086,99.04,4500,6,0,0,1,0,0,1,0,1,0,0
535000,12000,103.6,5,15,1598,153,3800,9,0,0,1,0,0,1,0,1,0,0
175000,55500,67.1,5,18.2,998,90,3500,12,0,0,1,0,0,1,0,0,0,0
525000,61500,82.85,5,18.5,1197,113.7,4000,8,0,0,1,0,0,1,0,0,0,0
600000,150000,74,5,26.5,1248,190,2000,5,1,0,0,1,0,1,0,0,0,0
565000,72000,82,5,19.1,1197,114,4000,5,0,0,1,0,0,0,0,0,0,0
120000,68000,46.3,5,19.7,796,62,3000,13,0,0,1,0,0,1,0,0,0,1
725000,110000,88.73,5,22.5,1396,219.7,2125,4,1,0,0,1,0,1,0,0,0,0
185000,77000,67.05,5,21.7,998,90,3500,12,0,0,1,0,0,1,0,1,0,0
200000,100000,90,5,18.8,1248,200,2375,11,1,0,0,1,0,1,0,1,0,0
615000,10000,81.8,5,21.2,1197,113,4200,2,0,0,1,1,0,1,0,0,0,0
270000,100000,73,7,15.3,1196,101,3000,5,0,0,1,1,0,1,0,0,0,1
610000,35000,83.1,5,21.4,1197,115,4000,3,0,0,1,1,0,1,0,0,0,0
625000,70000,120,8,11.7,2179,290,2300,7,1,0,0,1,0,0,0,1,0,0
400000,5000,94.68,5,19,1194,120,4250,1,0,0,1,1,0,1,0,1,0,0
866000,37800,121.3,5,17,1591,151,4850,4,0,0,1,1,0,1,0,0,0,0
700000,114000,160,5,14.3,1798,250,4500,11,0,0,1,1,0,1,0,0,0,0
300000,48000,65,5,15.8,1172,96,2500,11,0,0,1,1,0,1,0,0,0,0
1700000,32000,155,7,15.1,2179,360,2275,2,1,0,0,1,0,1,0,0,0,0
375000,100000,69.01,5,19,1405,135,2500,5,1,0,0,1,0,1,0,0,0,0
522000,150000,126.32,5,22.3,1582,259.8,2325,8,1,0,0,1,0,1,0,1,0,0
451999,69000,88.76,5,21.9,1396,219.6,2125,8,1,0,0,1,0,1,0,0,0,0
300000,100000,138.1,5,14.5,1798,173,4000,12,0,0,1,1,0,1,0,1,0,0
475000,13000,67.04,5,21.6,998,90,3500,1,0,0,1,1,0,1,0,0,0,0
780000,60000,88.5,5,24.3,1248,200,1750,5,1,0,0,1,0,1,0,0,0,0
595000,40000,83.14,5,20.8,1197,115,4000,4,0,0,1,1,0,1,0,0,0,0
440000,35000,67.04,5,20.5,998,90,3500,4,0,0,1,1,0,1,0,0,0,0
300000,120000,82,5,19.3,1248,154.9,2500,11,1,0,0,1,0,1,0,1,0,0
400000,70000,83.8,5,20.4,1461,200,1900,7,1,0,0,1,0,1,0,0,0,1
1140000,50000,126.2,5,19.6,1582,259.9,2325,5,1,0,0,1,0,1,0,0,0,0
850000,76139,98.96,5,23,1498,205,2500,4,1,0,0,1,0,1,0,0,0,0
370000,175000,73.9,5,19.3,1248,190,2000,9,1,0,0,1,0,1,1,0,0,0
350000,25000,67,5,23,999,91,4250,3,0,0,1,1,0,1,0,0,0,0
360000,40000,67.04,5,23.1,998,90,3500,6,0,0,1,1,0,1,0,1,0,0
105000,65000,46.3,5,19.7,796,62,3000,13,0,0,1,1,0,1,1,0,0,0
625000,90000,88.76,7,20.7,1248,200,1750,8,1,0,0,1,0,1,0,1,0,0
135000,80000,62.1,5,17.9,1086,96.1,3000,12,0,0,1,1,0,1,0,1,0,0
700000,110000,88.76,7,20.7,1248,200,1750,6,1,0,0,1,0,1,0,1,0,0
690000,1303,86.7,5,17.8,1198,109,4500,2,0,0,1,0,0,1,0,0,0,0
3975000,31800,188,5,17,1968,400,2375,3,1,0,0,0,0,0,0,0,0,0
5150000,20000,214.56,5,22.3,2487,202,4400,2,0,0,1,0,0,0,0,0,0,0
3200000,45000,177,5,19.3,1999,430,2125,4,1,0,0,0,0,0,0,0,0,0
4100000,17000,280,5,9.5,3604,347,4300,4,0,0,1,1,0,0,0,0,0,0
4500000,21000,148.31,7,12.8,1999,382,2000,2,1,0,0,0,0,0,0,0,0,0
6000000,37000,254.79,5,13.5,2987,620,2000,4,1,0,0,0,0,0,0,0,0,0
3790000,29500,187.74,5,22.4,1995,400,2125,3,1,0,0,0,0,0,0,0,0,0
2150000,27000,82,5,19.3,1248,154.9,2500,4,1,0,0,0,0,0,0,0,0,0
5800000,7500,190,5,16.7,1995,400,2125,2,1,0,0,0,0,0,0,0,0,0
1864999,50000,177.46,5,14.6,1798,250,3125,3,0,0,1,0,0,0,0,0,0,0
2700000,35000,204,5,15,2143,500,1700,5,1,0,0,0,0,0,0,0,0,0
1750000,19000,141,5,13.9,1451,250,2600,2,0,0,1,0,0,0,0,0,0,0
795000,41000,117.6,5,18,1497,145,4600,4,0,0,1,0,0,0,0,0,0,0
625000,39000,138.03,5,14.2,1798,173,4000,8,0,0,1,0,0,0,0,0,0,0
3400000,22000,190,5,18,1969,400,2500,3,1,0,0,0,0,0,0,0,0,0
2650000,53000,241.4,7,12,2967,550,2250,6,1,0,0,0,0,0,0,0,0,0
535000,40000,88.5,5,26.2,1248,200,1750,6,1,0,0,0,0,1,0,0,0,0
5850000,47000,282,5,13.5,2987,490,1600,4,1,0,0,0,0,0,0,0,0,0
975000,72200,150,5,10.8,2497,250,2500,11,0,0,1,0,0,0,0,1,0,0
805000,49900,147.5,5,16.3,1797,177.5,4700,5,0,0,1,0,0,1,0,0,0,0
2625000,9000,177,5,13.6,1999,430,2125,4,1,0,0,0,0,0,0,0,0,0
811000,11000,108.5,5,17,1198,170,2875,3,0,0,1,0,0,1,0,0,0,0
375000,49000,103.6,5,15,1598,153,3800,10,0,0,1,1,0,1,0,0,0,0
550000,95000,147.5,5,16.3,1797,177.5,4700,9,0,0,1,1,0,1,0,0,0,0
645000,11000,103.5,5,14.3,1598,153,3800,5,0,0,1,0,0,0,0,0,0,0
2550000,18000,183,5,15,1991,300,2600,3,0,0,1,0,0,0,0,0,0,0
599000,46100,93.7,7,16,1373,130,4000,7,0,0,1,0,0,1,0,0,0,0
2700000,16000,181.04,5,14.7,1991,300,1300,4,0,0,1,0,0,0,0,0,0,0
875000,18000,116.3,5,15.6,1497,146,4800,4,0,0,1,0,0,0,0,0,0,0
